episode: 93/150, reward: -31.100464682760716, learning rate: 1.8967106e-05
episode: 94/150, reward: -31.1022486317185, learning rate: 1.8768318e-05
episode: 95/150, reward: -31.159661475364803, learning rate: 1.857161e-05
episode: 96/150, reward: -31.173813695246793, learning rate: 1.8376968e-05
episode: 97/150, reward: -31.10356687410927, learning rate: 1.8184362e-05
episode: 98/150, reward: -30.983542080272716, learning rate: 1.7993778e-05
episode: 99/150, reward: -30.79917030933301, learning rate: 1.7805189e-05
episode: 100/150, reward: -30.49332008452805, learning rate: 1.7618579e-05
episode: 101/150, reward: -30.51661786520223, learning rate: 1.7433922e-05
episode: 102/150, reward: -30.483291197020563, learning rate: 1.7251201e-05
episode: 103/150, reward: -30.333934661430042, learning rate: 1.7070397e-05
episode: 104/150, reward: -30.17010030899758, learning rate: 1.6891487e-05
episode: 105/150, reward: -30.21463202209275, learning rate: 1.671445e-05
episode: 106/150, reward: -30.208592619349528, learning rate: 1.653927e-05
episode: 107/150, reward: -30.066864914741174, learning rate: 1.6365926e-05
episode: 108/150, reward: -30.094334465884796, learning rate: 1.6194399e-05
episode: 109/150, reward: -29.84469386661095, learning rate: 1.6024671e-05
episode: 110/150, reward: -29.86601258961189, learning rate: 1.585672e-05
episode: 111/150, reward: -29.835930030961105, learning rate: 1.569053e-05
episode: 112/150, reward: -29.69496085244272, learning rate: 1.5526082e-05
episode: 113/150, reward: -29.59323338084384, learning rate: 1.5363357e-05
episode: 114/150, reward: -29.561026094092522, learning rate: 1.5202338e-05
episode: 115/150, reward: -29.085437016583573, learning rate: 1e-06
episode: 116/150, reward: -29.382289907991343, learning rate: 1e-06
episode: 117/150, reward: -29.188512145933448, learning rate: 1e-06
episode: 118/150, reward: -29.23831163842811, learning rate: 1e-06
episode: 119/150, reward: -29.448830764719933, learning rate: 1e-06
episode: 120/150, reward: -29.419199921305555, learning rate: 1e-06
episode: 121/150, reward: -29.46575901322876, learning rate: 1e-06
episode: 122/150, reward: -29.1972267308083, learning rate: 1e-06
episode: 123/150, reward: -29.232231221616004, learning rate: 1e-06
episode: 124/150, reward: -29.142721562172305, learning rate: 1e-06
episode: 125/150, reward: -29.161217826275042, learning rate: 1e-06
episode: 126/150, reward: -29.20610452649003, learning rate: 1e-06
episode: 127/150, reward: -29.25086025513548, learning rate: 1e-06
episode: 128/150, reward: -29.243086328020727, learning rate: 1e-06
episode: 129/150, reward: -29.28251767306662, learning rate: 1e-06
episode: 130/150, reward: -29.205481565062197, learning rate: 1e-06
episode: 131/150, reward: -29.239197543175933, learning rate: 1e-06
episode: 132/150, reward: -29.19820501979739, learning rate: 1e-06
episode: 133/150, reward: -29.22805122775731, learning rate: 1e-06
episode: 134/150, reward: -29.280521132584557, learning rate: 1e-06
episode: 135/150, reward: -29.270026619767695, learning rate: 1e-06
episode: 136/150, reward: -29.232687495583864, learning rate: 1e-06
episode: 137/150, reward: -29.285846662737043, learning rate: 1e-06
episode: 138/150, reward: -29.27745147863879, learning rate: 1e-06
episode: 139/150, reward: -29.29070541262997, learning rate: 1e-06
episode: 140/150, reward: -29.32589916058715, learning rate: 1e-06
episode: 141/150, reward: -29.33019844195279, learning rate: 1e-06
episode: 142/150, reward: -29.194758702183314, learning rate: 1e-06
episode: 143/150, reward: -29.234304448645627, learning rate: 1e-06
episode: 144/150, reward: -29.386595189305204, learning rate: 1e-06
episode: 145/150, reward: -29.44128019659176, learning rate: 1e-06
episode: 146/150, reward: -29.467325522403478, learning rate: 1e-06
episode: 147/150, reward: -29.55846138527025, learning rate: 1.07376845e-05
episode: 148/150, reward: -29.510716598895595, learning rate: 1.06251455e-05
episode: 149/150, reward: -29.705616698995403, learning rate: 1.0513786e-05
episode: 150/150, reward: -29.64579774893954, learning rate: 1.0403594e-05
